,discipline,department,course_code,level,course_title,description,description_length,complexity,num_questions,num_pronouns,student_references,informality,enrollment,logistics,crosslisted,DIAP,WRIT,FYS,SOPH,notes
0,stem,APMA,APMA 0330,0,"Methods of Applied Mathematics I, II","This course will cover mathematical techniques involving ordinary differential equations used in the analysis of physical, biological, and economic phenomena. The course emphasizes established methods and their applications rather than rigorous foundation. Topics include: first and second order differential equations, an introduction to numerical methods, series solutions, and Laplace transformations.",50,3.76,0,0,0,0.0,98,,,,0,,,
1,stem,APMA,APMA 0340,0,"Methods of Applied Mathematics I, II","Mathematical techniques involving differential equations used in the analysis of physical, biological and economic phenomena. Emphasis on the use of established methods, rather than rigorous foundations. I: First and second order differential equations. II: Applications of linear algebra to systems of equations; numerical methods; nonlinear problems and stability; introduction to partial differential equations; introduction to statistics. ",56,-1.96,0,0,0,0.0,17,"Prerequisite: MATH 0100, 0170, 0180, 0190, 0200, or 0350, or advanced placement.",,,0,,,
2,stem,APMA,APMA 0350,0,Applied Ordinary Differential Equations,"This course provides a comprehensive introduction to ordinary differential equations and their applications. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving the model using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. We will also learn about the underlying rigorous theoretical foundations of differential equations.",71,-3.35,0,1,0,0.014084507042253521,50,Format: lectures and problem-solving workshops.,,,0,,,
3,stem,APMA,APMA 0360,0,Applied Partial Differential Equations I,"This course builds on APMA 0350 which covers ordinary differential equations and systems involving a single independent variable. We will look at processes with two or more independent variables formulated as partial differential equations (PDE) using concepts from multivariable calculus. We will see how problems are described quantitatively as PDEs, how seemingly unrelated contexts can result in similar equations; and develop methods for solution using analytical, numerical or qualitative methods. Contexts include first order equations; the second order wave equation and problems involving diffusion processes; steady state balances for systems in two or three dimensions; together with insights from theory.",100,20.72,0,0,0,0.0,55,,,,0,,,
4,stem,APMA,APMA 1080,1,Inference in Genomics and Molecular Biology,Massive quantities of fundamental biological and geological sequence data have emerged. Goal of APMA1080 is to enable students to construct and apply probabilistic models to draw inferences from sequence data on problems novel to them. Statistical topics: Bayesian inferences; estimation; hypothesis testing and false discovery rates; statistical decision theory; change point algorithm; hidden Markov models; Kalman filters; and significances in high dimensions. ,62,16.62,0,0,1,0.016129032258064516,28,"Prerequisites: One of following APMA1650, APMA1655, MATH1610, CSCI1450; and one of the following AMPA0160, CSCI0040, CSCI0150, CSCI0170, CSCI0190, CLPS0950, waver for students with substantial computing experience and their acceptance of responsibility for their own computing.",,,0,,,
5,stem,APMA,APMA 1160,1,An Introduction to Numerical Optimization,"This course provides a thorough introduction to numerical methods and algorithms for solving non-linear continuous optimization problems. A particular attention will be given to the mathematical underpinnings to understand the theoretical properties of the optimization problems and the algorithms designed to solve them. Topics will include: line search methods, trust-region methods, nonlinear conjugate gradient methods, an introduction to constrained optimization (Karush-Kuhn-Tucker conditions, mini-maximization, saddle-points of Lagrangians). Some applications in signal and image processing will be explored. ",76,1.43,0,0,0,0.0,43,Basic programming skills at the level of APMA 16 or CSCI 40 are assumed.,,,0,,,
6,stem,APMA,APMA 1170,1,Introduction to Computational Linear Algebra,"Focuses on fundamental algorithms in computational linear algebra with relevance to all science concentrators. Basic linear algebra and matrix decompositions (Cholesky, LU, QR, etc.), round-off errors and numerical analysis of errors and convergence. Iterative methods and conjugate gradient techniques. Computation of eigenvalues and eigenvectors, and an introduction to least squares methods.",51,7.72,0,0,0,0.0,29,,,,0,,,
7,stem,APMA,APMA 1330,1,Methods of Applied Mathematics,"Review of vector calculus and curvilinear coordinates. Partial differential equations. Heat conduction and diffusion equations, the wave equation, Laplace and Poisson equations. Separation of variables, special functions, Fourier series and power series solution of differential equations. Sturm-Liouville problem and eigenfunction expansions.",41,20.85,0,0,0,0.0,10,,,,0,,,
8,stem,APMA,APMA 1650,1,Statistical Inference I,"APMA 1650 is an integrated first course in mathematical statistics. The first half of APMA 1650 covers probability and the last half is statistics, integrated with its probabilistic foundation. Specific topics include probability spaces, discrete and continuous random variables, methods for parameter estimation, confidence intervals, and hypothesis testing. ",48,4.47,0,0,0,0.0,286,"Prerequisite: One year of university-level calculus. At Brown, this corresponds to MATH 0100, MATH 0170, MATH 0180, MATH 0190, MATH 0200, or MATH 0350. A score of 4 or 5 on the AP Calculus BC exam is also sufficient.",,,0,,,
9,stem,APMA,APMA 1655,1,Statistical Inference I,Students may opt to enroll in 1655 for more in depth coverage of APMA 1650. Enrollment in 1655 will include an optional recitation section and required additional individual work. Applied Math concentrators are encouraged to take 1655. ,37,50.53,0,0,0,0.0,79,"Prerequisite (for either version): MATH 0100, 0170, 0180, 0190, 0200, or 0350.",,,0,,,
